company_name,high,low,last_price,prev_close,change,percent_gain
Usha Martin,315.95,310.10,311.40,306.10,5.30,1.73
Divis Labs,"5,739.50","5,605.00","5,685.50","5,589.30",96.20,1.72
Gillette India,"8,119.50","7,930.50","8,075.00","7,938.70",136.30,1.72
Triveni Engg,388.40,382.80,386.45,379.90,6.55,1.72
Adani Total Gas,604.50,596.55,602.15,592.05,10.10,1.71
Asahi India,678.00,662.75,674.00,662.75,11.25,1.7
Bandhan Bank,152.42,150.55,152.22,149.68,2.54,1.7
Sapphire Foods,312.40,308.00,310.50,305.30,5.20,1.7
Sapphire Foods,312.40,308.00,310.50,305.30,5.20,1.7
ABSL AMC,638.20,628.85,635.60,625.05,10.55,1.69
Happiest Minds ,572.00,565.15,570.00,560.50,9.50,1.69
Krishna Inst.,628.00,612.95,627.10,616.75,10.35,1.68
Krishna Inst.,628.00,612.95,627.10,616.75,10.35,1.68
Alok Industries,15.95,15.72,15.88,15.62,0.26,1.66
Shipping Corp,176.80,172.30,174.60,171.75,2.85,1.66
Grasim,"2,713.00","2,670.00","2,695.00","2,651.25",43.75,1.65
Tata Chemicals,847.35,836.40,845.95,832.25,13.70,1.65
Capri Global,159.77,157.36,158.40,155.84,2.56,1.64
Capri Global,159.77,157.36,158.40,155.84,2.56,1.64
SBI Card,868.60,857.80,865.95,852.00,13.95,1.64
Abbott India,"30,330.00","29,600.00","30,125.00","29,641.10",483.90,1.63
Motilal Oswal,628.00,615.50,616.00,606.20,9.80,1.62
JBM Auto,634.95,623.70,628.10,618.15,9.95,1.61
R R Kabel,928.85,913.55,923.50,909.00,14.50,1.6
Birlasoft,369.90,362.40,365.50,359.75,5.75,1.6
Sun TV Network,675.70,658.35,670.65,660.10,10.55,1.6
Jaiprakash Pow,14.85,14.62,14.74,14.51,0.23,1.59
J. K. Cement,"5,097.00","4,940.10","5,036.40","4,957.45",78.95,1.59
Bank of India,110.66,108.85,109.87,108.16,1.71,1.58
NHPC,85.80,84.70,85.51,84.20,1.31,1.56
Ratnamani Metal,"2,752.10","2,712.00","2,728.40","2,686.45",41.95,1.56
Siemens,"2,798.00","2,741.50","2,770.00","2,727.80",42.20,1.55
UCO Bank,29.42,29.01,29.39,28.94,0.45,1.55
Kansai Nerolac,253.88,249.60,253.42,249.58,3.84,1.54
KNR Construct,232.81,230.00,231.12,227.62,3.50,1.54
GE Shipping,885.00,861.30,876.05,862.95,13.10,1.52
Newgen Software,924.90,913.15,919.10,905.30,13.80,1.52
HCL Tech,"1,421.90","1,407.00","1,411.20","1,390.55",20.65,1.49
Lemon Tree,142.23,139.85,141.77,139.75,2.02,1.45
Oil India,367.60,361.30,364.10,358.90,5.20,1.45
Apollo Hospital,"6,965.00","6,835.00","6,878.00","6,780.95",97.05,1.43
CreditAccess Gr,"1,047.85","1,019.55","1,037.75","1,023.10",14.65,1.43
Persistent,"4,659.00","4,562.00","4,609.00","4,544.60",64.40,1.42
Persistent,"4,659.00","4,562.00","4,609.00","4,544.60",64.40,1.42
Balrampur Chini,538.70,531.25,537.35,529.90,7.45,1.41
Rajesh Exports,191.56,189.00,190.26,187.63,2.63,1.4
Adani Wilmar,277.20,274.50,276.35,272.55,3.80,1.39
LIC India,784.00,777.50,781.75,771.05,10.70,1.39
JSW Infra,303.35,298.90,300.20,296.10,4.10,1.38
Aegis Logistics,774.20,762.60,766.10,755.75,10.35,1.37
MM Financial,270.00,264.55,266.70,263.10,3.60,1.37
GNFC,492.90,483.80,487.35,480.80,6.55,1.36
G R Infra,"1,099.00","1,080.70","1,087.60","1,073.10",14.50,1.35
Coal India,399.00,395.00,397.35,392.10,5.25,1.34
Yes Bank,17.49,17.31,17.38,17.15,0.23,1.34
Carborundum,979.50,954.00,968.10,955.35,12.75,1.33
UTI AMC,"1,027.40","1,008.20","1,011.40",998.15,13.25,1.33
KFin Tech,"1,026.50","1,008.40","1,011.50",998.35,13.15,1.32
Page Industries,"45,375.00","44,550.00","45,065.00","44,481.40",583.60,1.31
CG Consumer,339.70,333.55,338.45,334.10,4.35,1.3
LT Finance,157.80,156.15,157.48,155.46,2.02,1.3
Karur Vysya,214.20,206.77,212.20,209.50,2.70,1.29
Alkyl Amines,"1,808.00","1,754.50","1,762.60","1,740.45",22.15,1.27
Inox India,"1,016.00",999.00,"1,010.40",997.75,12.65,1.27
Wipro,245.05,241.55,242.80,239.75,3.05,1.27
Caplin Labs,"1,913.00","1,841.10","1,893.00","1,869.40",23.60,1.26
Deepak Nitrite,"1,967.20","1,932.80","1,957.30","1,932.85",24.45,1.26
Chalet Hotels,846.00,822.15,830.00,819.80,10.20,1.24
Ceat,"2,885.00","2,850.40","2,866.50","2,832.50",34.00,1.2
Canara Bank,92.90,91.28,91.63,90.54,1.09,1.2
Canara Bank,92.90,91.28,91.63,90.54,1.09,1.2
GMR Airports,87.00,85.90,86.75,85.72,1.03,1.2
HDFC Life,696.40,690.30,693.75,685.55,8.20,1.2
Power Grid Corp,310.45,305.60,307.75,304.10,3.65,1.2
Jubilant Food,697.80,688.85,693.45,685.30,8.15,1.19
CHEMPLAST SANMA,439.85,433.00,437.80,432.70,5.10,1.18
UltraTechCement,"11,749.00","11,581.00","11,638.00","11,502.65",135.35,1.18
Syngene Intl,715.45,703.10,710.00,701.80,8.20,1.17
Castrol,202.45,200.49,201.64,199.33,2.31,1.16
